Ns,A,U1,err[U1],U2,err[U2],U3,err[U3],U4,err[U4],U5,err[U5],C,omit
38,4410,11.39,0.21,,,,,,,,,,
48,4410,19.63,0.28,,,,,,,,,,
114,4410,44.29,0.42,,,,,,,,,,
13,4410,4.99,0.14,,,,,,,,,,
25,4410,12.26,0.22,,,,,,,,,,
49,4410,30.21,0.35,,,,,,,,,,
39,4410,25.91,0.32,,,,,,,,,,
18,1470,18.1,0.27,,,,,,,,,,
26,2940,25.06,0.32,,,,,,,,,,
24,1470,26.66,0.33,,,,,,,,,,
55,4410,22.6,0.3,,,,,,,,,,
38,2940,22.5,0.3,,,,,,,,,,
61,4410,21.88,0.3,,,,,,,,,,
82,4410,44.22,0.42,,,,,,,,,,
16,1470,13.46,0.23,,,,,,,,,,
38,2940,33.04,0.36,,,,,,,,,,
42,2940,29.96,0.35,,,,,,,,,,
31,4410,8.75,0.19,,,,,,,,,,
15,1470,22.52,0.3,,,,,,,,,,
27,1470,27.76,0.33,,,,,,,,,,
34,2940,20.43,0.29,,,,,,,,,,
6,1470,14.93,0.24,,,,,,,,,,
48,1470,60.43,0.49,,,,,,,,,,
16,1470,16.34,0.26,,,,,,,,,,
31,4410,19.83,0.28,,,,,,,,,,
