Ns,A,U1,err[U1],U2,err[U2],U3,err[U3],U4,err[U4],U5,err[U5],C,omit
38,4410,0.2848,0.0053,,,,,,,,,,
48,4410,0.4907,0.0071,,,,,,,,,,
114,4410,1.1073,0.0105,,,,,,,,,,
13,4410,0.1246,0.0035,,,,,,,,,,
25,4410,0.3064,0.0055,,,,,,,,,,
49,4410,0.7553,0.0087,,,,,,,,,,
39,4410,0.6477,0.0081,,,,,,,,,,
18,1470,0.4525,0.0068,,,,,,,,,,
26,2940,0.6265,0.0078,,,,,,,,,,
24,1470,0.6665,0.0083,,,,,,,,,,
55,4410,0.565,0.0076,,,,,,,,,,
38,2940,0.5624,0.0076,,,,,,,,,,
61,4410,0.5469,0.0074,,,,,,,,,,
82,4410,1.1055,0.0105,,,,,,,,,,
16,1470,0.3365,0.0057,,,,,,,,,,
38,2940,0.826,0.0091,,,,,,,,,,
42,2940,0.749,0.0086,,,,,,,,,,
31,4410,0.2188,0.0047,,,,,,,,,,
15,1470,0.563,0.0076,,,,,,,,,,
27,1470,0.6939,0.0083,,,,,,,,,,
34,2940,0.5107,0.0071,,,,,,,,,,
6,1470,0.3732,0.0062,,,,,,,,,,
48,1470,1.5108,0.0123,,,,,,,,,,
16,1470,0.4085,0.0063,,,,,,,,,,
31,4410,0.4958,0.0069,,,,,,,,,,
